Vivado Simulator 2019.2
Time resolution is 1 ps
@time    0ns : in1=0, in2=0, in3=0, out=00000001
@time   10ns : in1=0, in2=1, in3=1, out=11101000
@time   20ns : in1=1, in2=1, in3=1, out=10000000
@time   30ns : in1=1, in2=0, in3=1, out=10100000
@time   60ns : in1=0, in2=1, in3=0, out=01100100
@time   70ns : in1=1, in2=1, in3=0, out=01000000
@time   80ns : in1=1, in2=0, in3=0, out=00010000
@time   90ns : in1=0, in2=1, in3=0, out=01100100
@time  100ns : in1=1, in2=1, in3=1, out=10000000
@time  110ns : in1=1, in2=0, in3=0, out=00010000
@time  120ns : in1=0, in2=0, in3=1, out=00001010
@time  130ns : in1=0, in2=1, in3=1, out=11101000
@time  140ns : in1=1, in2=1, in3=1, out=10000000
@time  150ns : in1=0, in2=0, in3=1, out=00001010
@time  160ns : in1=1, in2=1, in3=0, out=01000000
@time  170ns : in1=0, in2=0, in3=0, out=00000001
@time  180ns : in1=0, in2=1, in3=0, out=01100100
@time  190ns : in1=0, in2=1, in3=1, out=11101000
@time  200ns : in1=0, in2=0, in3=0, out=00000001
@time  210ns : in1=0, in2=0, in3=1, out=00001010
@time  220ns : in1=1, in2=1, in3=1, out=10000000
@time  230ns : in1=1, in2=0, in3=0, out=00010000
@time  240ns : in1=1, in2=1, in3=1, out=10000000
@time  250ns : in1=0, in2=0, in3=1, out=00001010
@time  260ns : in1=1, in2=0, in3=1, out=10100000
@time  280ns : in1=1, in2=1, in3=0, out=01000000
@time  300ns : in1=0, in2=0, in3=0, out=00000001
@time  310ns : in1=1, in2=1, in3=0, out=01000000
@time  320ns : in1=0, in2=1, in3=1, out=11101000
@time  330ns : in1=1, in2=1, in3=1, out=10000000
@time  340ns : in1=0, in2=1, in3=1, out=11101000
@time  350ns : in1=1, in2=0, in3=0, out=00010000
@time  360ns : in1=0, in2=0, in3=0, out=00000001
@time  370ns : in1=0, in2=0, in3=1, out=00001010
@time  380ns : in1=1, in2=1, in3=1, out=10000000
@time  390ns : in1=1, in2=0, in3=1, out=10100000
@time  400ns : in1=1, in2=0, in3=0, out=00010000
@time  410ns : in1=1, in2=1, in3=0, out=01000000
@time  420ns : in1=1, in2=1, in3=1, out=10000000
@time  430ns : in1=1, in2=0, in3=0, out=00010000
@time  440ns : in1=0, in2=1, in3=0, out=01100100
@time  450ns : in1=0, in2=0, in3=1, out=00001010
@time  460ns : in1=1, in2=0, in3=0, out=00010000
@time  480ns : in1=0, in2=1, in3=0, out=01100100
@time  500ns : in1=1, in2=1, in3=1, out=10000000
@time  510ns : in1=1, in2=1, in3=0, out=01000000
@time  520ns : in1=0, in2=0, in3=1, out=00001010
@time  540ns : in1=1, in2=0, in3=0, out=00010000
@time  550ns : in1=0, in2=1, in3=1, out=11101000
@time  560ns : in1=0, in2=0, in3=0, out=00000001
@time  570ns : in1=1, in2=1, in3=0, out=01000000
@time  580ns : in1=0, in2=0, in3=1, out=00001010
@time  600ns : in1=0, in2=0, in3=0, out=00000001
@time  610ns : in1=1, in2=0, in3=1, out=10100000
@time  620ns : in1=1, in2=0, in3=0, out=00010000
@time  630ns : in1=0, in2=0, in3=1, out=00001010
@time  640ns : in1=0, in2=0, in3=0, out=00000001
@time  650ns : in1=0, in2=1, in3=1, out=11101000
@time  660ns : in1=1, in2=0, in3=1, out=10100000
@time  670ns : in1=1, in2=1, in3=0, out=01000000
@time  680ns : in1=0, in2=1, in3=1, out=11101000
@time  690ns : in1=1, in2=1, in3=1, out=10000000
@time  700ns : in1=0, in2=1, in3=1, out=11101000
@time  710ns : in1=0, in2=0, in3=0, out=00000001
@time  720ns : in1=0, in2=1, in3=1, out=11101000
@time  730ns : in1=0, in2=0, in3=1, out=00001010
@time  770ns : in1=1, in2=1, in3=0, out=01000000
@time  780ns : in1=0, in2=0, in3=1, out=00001010
@time  800ns : in1=0, in2=0, in3=0, out=00000001
@time  810ns : in1=0, in2=1, in3=0, out=01100100
@time  820ns : in1=0, in2=0, in3=1, out=00001010
@time  830ns : in1=1, in2=0, in3=1, out=10100000
@time  840ns : in1=1, in2=1, in3=1, out=10000000
@time  850ns : in1=0, in2=1, in3=1, out=11101000
@time  860ns : in1=1, in2=0, in3=0, out=00010000
@time  880ns : in1=1, in2=1, in3=0, out=01000000
@time  890ns : in1=0, in2=1, in3=0, out=01100100
@time  910ns : in1=1, in2=1, in3=0, out=01000000
@time  920ns : in1=1, in2=0, in3=1, out=10100000
@time  930ns : in1=0, in2=0, in3=1, out=00001010
@time  940ns : in1=0, in2=0, in3=0, out=00000001
@time  950ns : in1=1, in2=1, in3=1, out=10000000
@time  960ns : in1=1, in2=1, in3=0, out=01000000
@time  970ns : in1=1, in2=1, in3=1, out=10000000
@time  980ns : in1=0, in2=0, in3=0, out=00000001
@time 1000ns : in1=1, in2=1, in3=1, out=10000000
