Vivado Simulator 2019.2
Time resolution is 1 ps
@time    0ns: pi_money = 0, state = 001, po_cola = 0
@time   30ns: pi_money = 1, state = 001, po_cola = 0
@time   40ns: pi_money = 1, state = 010, po_cola = 0
@time   50ns: pi_money = 1, state = 100, po_cola = 0
@time   60ns: pi_money = 1, state = 001, po_cola = 1
@time   70ns: pi_money = 1, state = 010, po_cola = 0
@time   80ns: pi_money = 1, state = 100, po_cola = 0
@time   90ns: pi_money = 0, state = 001, po_cola = 1
@time  100ns: pi_money = 1, state = 001, po_cola = 0
@time  110ns: pi_money = 1, state = 010, po_cola = 0
@time  120ns: pi_money = 0, state = 100, po_cola = 0
@time  130ns: pi_money = 1, state = 100, po_cola = 0
@time  140ns: pi_money = 1, state = 001, po_cola = 1
@time  150ns: pi_money = 0, state = 010, po_cola = 0
@time  160ns: pi_money = 1, state = 010, po_cola = 0
@time  170ns: pi_money = 0, state = 100, po_cola = 0
@time  180ns: pi_money = 1, state = 100, po_cola = 0
@time  190ns: pi_money = 0, state = 001, po_cola = 1
@time  200ns: pi_money = 1, state = 001, po_cola = 0
@time  210ns: pi_money = 1, state = 010, po_cola = 0
@time  220ns: pi_money = 0, state = 100, po_cola = 0
@time  230ns: pi_money = 1, state = 100, po_cola = 0
@time  240ns: pi_money = 0, state = 001, po_cola = 1
@time  250ns: pi_money = 0, state = 001, po_cola = 0
@time  270ns: pi_money = 1, state = 001, po_cola = 0
@time  280ns: pi_money = 0, state = 010, po_cola = 0
@time  290ns: pi_money = 1, state = 010, po_cola = 0
@time  300ns: pi_money = 1, state = 100, po_cola = 0
@time  310ns: pi_money = 1, state = 001, po_cola = 1
@time  320ns: pi_money = 1, state = 010, po_cola = 0
@time  330ns: pi_money = 0, state = 100, po_cola = 0
@time  370ns: pi_money = 1, state = 100, po_cola = 0
@time  380ns: pi_money = 0, state = 001, po_cola = 1
@time  390ns: pi_money = 1, state = 001, po_cola = 0
@time  400ns: pi_money = 1, state = 010, po_cola = 0
@time  410ns: pi_money = 1, state = 100, po_cola = 0
@time  420ns: pi_money = 1, state = 001, po_cola = 1
@time  430ns: pi_money = 1, state = 010, po_cola = 0
@time  440ns: pi_money = 0, state = 100, po_cola = 0
@time  460ns: pi_money = 1, state = 100, po_cola = 0
@time  470ns: pi_money = 1, state = 001, po_cola = 1
@time  480ns: pi_money = 1, state = 010, po_cola = 0
@time  490ns: pi_money = 0, state = 100, po_cola = 0
@time  540ns: pi_money = 1, state = 100, po_cola = 0
@time  550ns: pi_money = 0, state = 001, po_cola = 1
@time  560ns: pi_money = 0, state = 001, po_cola = 0
@time  570ns: pi_money = 1, state = 001, po_cola = 0
@time  580ns: pi_money = 1, state = 010, po_cola = 0
@time  590ns: pi_money = 0, state = 100, po_cola = 0
@time  640ns: pi_money = 1, state = 100, po_cola = 0
@time  650ns: pi_money = 1, state = 001, po_cola = 1
@time  660ns: pi_money = 1, state = 010, po_cola = 0
@time  670ns: pi_money = 1, state = 100, po_cola = 0
@time  680ns: pi_money = 1, state = 001, po_cola = 1
@time  690ns: pi_money = 0, state = 010, po_cola = 0
@time  710ns: pi_money = 1, state = 010, po_cola = 0
@time  720ns: pi_money = 1, state = 100, po_cola = 0
@time  730ns: pi_money = 1, state = 001, po_cola = 1
@time  740ns: pi_money = 0, state = 010, po_cola = 0
@time  760ns: pi_money = 1, state = 010, po_cola = 0
@time  770ns: pi_money = 1, state = 100, po_cola = 0
@time  780ns: pi_money = 0, state = 001, po_cola = 1
@time  790ns: pi_money = 1, state = 001, po_cola = 0
@time  800ns: pi_money = 1, state = 010, po_cola = 0
@time  810ns: pi_money = 0, state = 100, po_cola = 0
@time  820ns: pi_money = 1, state = 100, po_cola = 0
@time  830ns: pi_money = 1, state = 001, po_cola = 1
@time  840ns: pi_money = 1, state = 010, po_cola = 0
@time  850ns: pi_money = 0, state = 100, po_cola = 0
@time  860ns: pi_money = 1, state = 100, po_cola = 0
@time  870ns: pi_money = 1, state = 001, po_cola = 1
@time  880ns: pi_money = 0, state = 010, po_cola = 0
@time  920ns: pi_money = 1, state = 010, po_cola = 0
@time  930ns: pi_money = 1, state = 100, po_cola = 0
@time  940ns: pi_money = 0, state = 001, po_cola = 1
@time  950ns: pi_money = 0, state = 001, po_cola = 0
@time  960ns: pi_money = 1, state = 001, po_cola = 0
@time  970ns: pi_money = 1, state = 010, po_cola = 0
@time  980ns: pi_money = 1, state = 100, po_cola = 0
@time  990ns: pi_money = 1, state = 001, po_cola = 1
@time 1000ns: pi_money = 1, state = 010, po_cola = 0
