Vivado Simulator 2019.2
Time resolution is 1 ps
$time    0ns: stage=00000001  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 0
$time   20ns: stage=00000001  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time   30ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time   40ns: stage=00001000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time   50ns: stage=00010000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time   60ns: stage=00100000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time   70ns: stage=00000001  ,po_money = 0 ,po_cola = 1, po_money_half = 1, po_money_one = 0
$time   80ns: stage=00000010  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time   90ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  100ns: stage=00010000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  110ns: stage=00100000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  120ns: stage=00000001  ,po_money = 0 ,po_cola = 1, po_money_half = 0, po_money_one = 1
$time  130ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  140ns: stage=00001000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  150ns: stage=00010000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  160ns: stage=01000000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  170ns: stage=00000001  ,po_money = 1 ,po_cola = 1, po_money_half = 0, po_money_one = 1
$time  180ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  190ns: stage=00001000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  200ns: stage=00100000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  210ns: stage=00000001  ,po_money = 0 ,po_cola = 1, po_money_half = 1, po_money_one = 0
$time  220ns: stage=00000010  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  230ns: stage=00001000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  240ns: stage=00010000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  250ns: stage=01000000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  260ns: stage=00000001  ,po_money = 1 ,po_cola = 1, po_money_half = 0, po_money_one = 1
$time  270ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  280ns: stage=00001000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  290ns: stage=00100000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  300ns: stage=00000001  ,po_money = 0 ,po_cola = 1, po_money_half = 1, po_money_one = 0
$time  310ns: stage=00000010  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  320ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  330ns: stage=00001000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  340ns: stage=00100000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  350ns: stage=00000001  ,po_money = 0 ,po_cola = 1, po_money_half = 0, po_money_one = 1
$time  360ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  370ns: stage=00010000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  380ns: stage=00100000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  390ns: stage=00000001  ,po_money = 0 ,po_cola = 1, po_money_half = 1, po_money_one = 0
$time  400ns: stage=00000010  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  410ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  420ns: stage=00001000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  430ns: stage=00010000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  440ns: stage=00100000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  450ns: stage=00000001  ,po_money = 0 ,po_cola = 1, po_money_half = 0, po_money_one = 1
$time  460ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  470ns: stage=00001000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  480ns: stage=00010000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  490ns: stage=00100000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  500ns: stage=00000001  ,po_money = 0 ,po_cola = 1, po_money_half = 0, po_money_one = 1
$time  510ns: stage=00000100  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  520ns: stage=00010000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  530ns: stage=01000000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  540ns: stage=00000001  ,po_money = 1 ,po_cola = 1, po_money_half = 1, po_money_one = 0
$time  550ns: stage=00000010  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  560ns: stage=00001000  ,po_money = 0 ,po_cola = 0, po_money_half = 0, po_money_one = 1
$time  570ns: stage=00100000  ,po_money = 0 ,po_cola = 0, po_money_half = 1, po_money_one = 0
$time  580ns: stage=00000001  ,po_money = 0 ,po_cola = 1, po_money_half = 1, po_money_one = 0
